term,gene
AbSC_Pos,Rpl38
AbSC_Pos,Eif5a
AbSC_Pos,Cd24a
AbSC_Pos,Snrpb
AbSC_Pos,Lsm7
AbSC_Pos,Gipc1
AbSC_Pos,Kcne3
AbSC_Pos,Arid5b
AbSC_Pos,Tuba1b
AbSC_Pos,Sssca1
AbSC_Pos,Rps23
AbSC_Pos,Tra2a
AbSC_Pos,Fdft1
AbSC_Pos,Id1
AbSC_Pos,H2-Aa
AbSC_Pos,Rpl27
AbSC_Pos,Ptov1
AbSC_Pos,Grn
AbSC_Pos,Fbl
AbSC_Pos,Ube2l6
AbSC_Pos,Myl12b
AbSC_Pos,Serbp1
AbSC_Pos,Aplp2
AbSC_Pos,Mybbp1a
AbSC_Pos,Psmc4
AbSC_Pos,Qtrt1
AbSC_Pos,Med21
AbSC_Pos,Map1lc3b
AbSC_Pos,Prom1
AbSC_Pos,Lmo7
AbSC_Pos,Tpi1
AbSC_Pos,Rpl26
AbSC_Pos,Srsf11
AbSC_Pos,Rpl19
AbSC_Pos,Nme4
AbSC_Pos,Erh
AbSC_Pos,Rbm25
AbSC_Pos,Npc2
AbSC_Pos,Chic2
AbSC_Pos,Itga6
AbSC_Pos,Rps14
AbSC_Pos,Rps19
AbSC_Pos,Lgals9
AbSC_Pos,Tagln2
AbSC_Pos,Cct7
AbSC_Pos,Ppp1r2
AbSC_Pos,Rpl14
AbSC_Pos,Raly
AbSC_Pos,Tpm3
AbSC_Pos,Ctsd
AbSC_Pos,Btf3
AbSC_Pos,Arpp19
AbSC_Pos,Cdca7
AbSC_Pos,Bola2
AbSC_Pos,Nolc1
AbSC_Pos,Psma2
AbSC_Pos,Acer2
AbSC_Pos,Srsf7
AbSC_Pos,Bnip3l
AbSC_Pos,Tcof1
AbSC_Pos,Sf3b3
AbSC_Pos,Eif3d
AbSC_Pos,Ilf2
AbSC_Pos,Bclaf1
AbSC_Pos,Snu13
AbSC_Pos,Ebna1bp2
AbSC_Pos,Snrpd1
AbSC_Pos,Snrnp70
AbSC_Pos,Ranbp1
AbSC_Pos,Ift43
AbSC_Pos,Rps18
AbSC_Pos,Ass1
AbSC_Pos,Siva1
AbSC_Pos,Rplp0
AbSC_Pos,Lsr
AbSC_Pos,Rpl13a
AbSC_Pos,Rpl12
AbSC_Pos,Tpm1
AbSC_Pos,Vcp
AbSC_Pos,Pabpc1
AbSC_Pos,Cnbp
AbSC_Pos,Mak16
AbSC_Pos,Psmb4
AbSC_Pos,Srsf10
AbSC_Pos,Sumo2
AbSC_Pos,Ezh2
AbSC_Pos,Epcam
AbSC_Pos,Ppp1r14b
AbSC_Pos,Gar1
AbSC_Pos,G3bp2
AbSC_Pos,Fasn
AbSC_Pos,Psip1
AbSC_Pos,Pdap1
AbSC_Pos,Rpl4
AbSC_Pos,Rps20
AbSC_Pos,Rpl34
AbSC_Pos,Clic4
AbSC_Pos,Laptm4a
AbSC_Pos,Rpl10a
AbSC_Pos,Ddx21
AbSC_Pos,Exosc4
AbSC_Pos,Rpl18a
AbSC_Pos,Rpl7
AbSC_Pos,Rps5
AbSC_Pos,Ssrp1
AbSC_Pos,Tst
AbSC_Pos,Zfp36l1
AbSC_Pos,Mbnl1
AbSC_Pos,Map1lc3a
AbSC_Pos,Cct2
AbSC_Pos,Nmi
AbSC_Pos,Rpl27a
AbSC_Pos,Mrto4
AbSC_Pos,Pfdn2
AbSC_Pos,Eif2ak2
AbSC_Pos,Cuedc2
AbSC_Pos,Psmb9
AbSC_Pos,Mtdh
AbSC_Pos,Nop58
AbSC_Pos,Lysmd2
AbSC_Pos,Rps17
AbSC_Pos,Tnfaip8l1
AbSC_Pos,Tuba1c
AbSC_Pos,Smarce1
AbSC_Pos,Slc38a2
AbSC_Pos,Eif4ebp1
AbSC_Pos,Vgll4
AbSC_Pos,Eef2
AbSC_Pos,Rps9
AbSC_Pos,H2afj
AbSC_Pos,Zfp593
AbSC_Pos,Arl6ip4
AbSC_Pos,Eef1e1
AbSC_Pos,Hnrnpu
AbSC_Pos,Psmc3
AbSC_Pos,Atrx
AbSC_Pos,Srrm1
AbSC_Pos,Rps25
AbSC_Pos,Med10
AbSC_Pos,Tomm20
AbSC_Pos,Rplp2
AbSC_Pos,Grcc10
AbSC_Pos,Znhit1
AbSC_Pos,Akr1b3
AbSC_Pos,Rpl3
AbSC_Pos,F11r
AbSC_Pos,Rps12
AbSC_Pos,Mcrip1
AbSC_Pos,Uba52
AbSC_Pos,Paics
AbSC_Pos,Rpl24
AbSC_Pos,Snrpf
AbSC_Pos,Mat2a
AbSC_Pos,Smarca5
AbSC_Pos,Fcf1
AbSC_Pos,Echdc2
AbSC_Pos,Akap13
AbSC_Pos,Gch1
AbSC_Pos,Hif1a
AbSC_Pos,Lars
AbSC_Pos,Stard10
AbSC_Pos,Anp32b
AbSC_Pos,Ssb
AbSC_Pos,Hddc2
AbSC_Pos,Ddx39
AbSC_Pos,Plscr1
AbSC_Pos,Adrm1
AbSC_Pos,Sap30
AbSC_Pos,Rabac1
AbSC_Pos,Tpd52l2
AbSC_Pos,Tpm4
AbSC_Pos,Hprt
AbSC_Pos,Gadd45g
AbSC_Pos,Fdps
AbSC_Pos,Nemf
AbSC_Pos,Tcp1
AbSC_Pos,Rplp1
AbSC_Pos,Apex1
AbSC_Pos,Rps13
AbSC_Pos,Bax
AbSC_Pos,Chd9
AbSC_Pos,Rps28
AbSC_Pos,Usp22
AbSC_Pos,Trib1
AbSC_Pos,Tpr
AbSC_Pos,Cnn3
AbSC_Pos,Sars
AbSC_Pos,Rps6
AbSC_Pos,Rabggtb
AbSC_Pos,Gtpbp4
AbSC_Pos,Fkbp3
AbSC_Pos,Lgals3bp
AbSC_Pos,Snrpd2
AbSC_Pos,Scaf11
AbSC_Pos,Sertad1
AbSC_Pos,Psmc6
AbSC_Pos,Park7
AbSC_Pos,Dctn3
AbSC_Pos,Pgls
AbSC_Pos,Atox1
AbSC_Pos,Rbx1
AbSC_Pos,Sf3b2
AbSC_Pos,Pomp
AbSC_Pos,Capns1
AbSC_Pos,Nsmce1
AbSC_Pos,Ran
AbSC_Pos,Dcun1d5
AbSC_Pos,Snrpg
AbSC_Pos,Lyar
AbSC_Pos,Nubp1
AbSC_Pos,Bola1
AbSC_Pos,Otub1
AbSC_Pos,1810058I24Rik
AbSC_Pos,Prr15
AbSC_Pos,Fam60a
AbSC_Pos,Trp53
AbSC_Pos,Psmb6
AbSC_Pos,Ralbp1
AbSC_Pos,Csnk1a1
AbSC_Pos,Rpl37a
AbSC_Pos,Rpl17
AbSC_Pos,Sdhaf1
AbSC_Pos,Crb3
AbSC_Pos,Ewsr1
AbSC_Pos,Nono
AbSC_Pos,Psmc2
AbSC_Pos,Pkm
AbSC_Pos,Rpl5
AbSC_Pos,Psmg4
AbSC_Pos,Polr2g
AbSC_Pos,Rtf1
AbSC_Pos,Eif1ax
AbSC_Pos,Utp3
AbSC_Pos,Rbm39
AbSC_Pos,Sltm
AbSC_Pos,Eif4g2
AbSC_Pos,Rpl32
AbSC_Pos,Srm
AbSC_Pos,Nras
AbSC_Pos,Esf1
AbSC_Pos,Cdc37
AbSC_Pos,Psmb3
AbSC_Pos,Puf60
AbSC_Pos,Ppan
AbSC_Pos,Zfand5
AbSC_Pos,Mrpl17
AbSC_Pos,Fam46a
AbSC_Pos,Pak2
AbSC_Pos,Eif3a
AbSC_Pos,Gnai2
AbSC_Pos,Tia1
AbSC_Pos,Fkbp1a
AbSC_Pos,Ywhae
AbSC_Pos,Rpl37
AbSC_Pos,Txndc9
AbSC_Pos,Ufc1
AbSC_Pos,Mphosph10
AbSC_Pos,Rpl35
AbSC_Pos,Pafah1b3
AbSC_Pos,Hmga1
AbSC_Pos,Lmna
AbSC_Pos,Pak1
AbSC_Pos,Pa2g4
AbSC_Pos,Trappc6a
AbSC_Pos,H3f3a
AbSC_Pos,Kif5b
AbSC_Pos,Rpl13
AbSC_Pos,Hmgb1
AbSC_Pos,Cct3
AbSC_Pos,Nol12
AbSC_Pos,Ifi35
AbSC_Pos,Eif3g
AbSC_Pos,Ruvbl1
AbSC_Pos,U2af1
AbSC_Pos,Slc25a17
AbSC_Pos,Sqstm1
AbSC_Pos,Rbbp4
AbSC_Pos,Mvb12a
AbSC_Pos,Eif2s1
AbSC_Pos,Ube2e1
AbSC_Pos,Psma1
AbSC_Pos,Sigmar1
AbSC_Pos,Prrc2c
AbSC_Pos,Ifrd1
AbSC_Pos,Plp2
AbSC_Pos,Eif3k
AbSC_Pos,Ptrh2
AbSC_Pos,Tmed5
AbSC_Pos,Pfdn4
AbSC_Pos,Exosc5
AbSC_Pos,Ppib
AbSC_Pos,Cbx3
AbSC_Pos,Cldn2
AbSC_Pos,Ttc3
AbSC_Pos,Ubxn1
AbSC_Pos,Spag7
AbSC_Pos,Wars
AbSC_Pos,Rpl23a
AbSC_Pos,Dnajc8
AbSC_Pos,Brix1
AbSC_Pos,Strap
AbSC_Pos,Ddx18
AbSC_Pos,Trim28
AbSC_Pos,Acin1
AbSC_Pos,Dnajb6
AbSC_Pos,Bcl3
AbSC_Pos,Psmb7
AbSC_Pos,Junb
AbSC_Pos,Laptm4b
AbSC_Pos,Psmc5
AbSC_Pos,Cct8
AbSC_Pos,Picalm
AbSC_Pos,Cd151
AbSC_Pos,Ddx39b
AbSC_Pos,Nip7
AbSC_Pos,Pttg1
AbSC_Pos,Rsrc2
AbSC_Pos,Hmgb3
AbSC_Pos,Comt
AbSC_Pos,Aimp1
AbSC_Pos,Nasp
AbSC_Pos,Dhrs7
AbSC_Pos,Med28
AbSC_Pos,Snrpd3
AbSC_Pos,Actb
AbSC_Pos,Cops5
AbSC_Pos,Ascc3
AbSC_Pos,Leprotl1
AbSC_Pos,Tuba4a
AbSC_Pos,Psmb1
AbSC_Pos,Smarcb1
AbSC_Pos,H2-DMa
AbSC_Pos,Ascl2
AbSC_Pos,Sptssa
AbSC_Pos,Rnps1
AbSC_Pos,Cebpz
AbSC_Pos,Prpf40a
AbSC_Pos,Dhx9
AbSC_Pos,Anxa7
AbSC_Pos,Snrpa
AbSC_Pos,Eif3m
AbSC_Pos,Ubald2
AbSC_Pos,Nr2c2ap
AbSC_Pos,Rps8
AbSC_Pos,Ccdc12
AbSC_Pos,Psmc1
AbSC_Pos,Srsf5
AbSC_Pos,Rack1
AbSC_Pos,Swi5
AbSC_Pos,Eif5
AbSC_Pos,Tsg101
AbSC_Pos,Stub1
AbSC_Pos,Rpl22
AbSC_Pos,Sin3b
AbSC_Pos,Eef1a1
AbSC_Pos,Phax
AbSC_Pos,Serinc2
AbSC_Pos,Ubap2l
AbSC_Pos,Sarnp
AbSC_Pos,Vps72
AbSC_Pos,Nsa2
AbSC_Pos,Mrpl33
AbSC_Pos,Psmd12
AbSC_Pos,Tbcb
AbSC_Pos,Rps11
AbSC_Pos,Btf3l4
AbSC_Pos,Eef1g
AbSC_Pos,Mob4
AbSC_Pos,Rab11a
AbSC_Pos,Smn1
AbSC_Pos,Hnrnpk
AbSC_Pos,Pbdc1
AbSC_Pos,Eif4a3
AbSC_Pos,Eif3i
AbSC_Pos,Utp14a
AbSC_Pos,Litaf
AbSC_Pos,Ube2n
AbSC_Pos,Psmd14
AbSC_Pos,Ctnnb1
AbSC_Pos,Anp32e
AbSC_Pos,Actr10
AbSC_Pos,Srsf3
AbSC_Pos,Ube2b
AbSC_Pos,Hmgcr
AbSC_Pos,Sdf4
AbSC_Pos,Ccdc59
AbSC_Pos,Mri1
AbSC_Pos,Pdcd5
AbSC_Pos,Wbp4
AbSC_Pos,Npdc1
AbSC_Pos,Rrp1
AbSC_Pos,Mapre1
AbSC_Pos,Dhps
AbSC_Pos,Eif6
AbSC_Pos,Krtcap3
AbSC_Pos,Tmed9
AbSC_Pos,Psmd13
AbSC_Pos,Pcbp2
AbSC_Pos,Eno1
AbSC_Pos,Dtymk
AbSC_Pos,Rps21
AbSC_Pos,Rnaseh2a
AbSC_Pos,Tcea1
AbSC_Pos,Baz1a
AbSC_Pos,Luc7l3
AbSC_Pos,Imp3
AbSC_Pos,Rps27a
AbSC_Pos,Snrpc
AbSC_Pos,Naxd
AbSC_Pos,Syncrip
AbSC_Pos,Tsn
AbSC_Pos,Ube2d2a
AbSC_Pos,Manbal
AbSC_Pos,Psma5
AbSC_Pos,Psmb10
AbSC_Pos,H2afz
AbSC_Pos,Tmem128
AbSC_Pos,Khdrbs1
AbSC_Pos,Rala
AbSC_Pos,Id2
AbSC_Pos,Arhgdia
AbSC_Pos,Rps29
AbSC_Pos,Gnas
AbSC_Pos,Rere
AbSC_Pos,Rpl15
AbSC_Pos,Rpl29
AbSC_Pos,Top1
AbSC_Pos,Naa20
AbSC_Pos,Tapbp
AbSC_Pos,Psmd1
AbSC_Pos,Eif2b2
AbSC_Pos,Ddx5
AbSC_Pos,Trmt6
AbSC_Pos,Cks1b
AbSC_Pos,Trappc4
AbSC_Pos,Ube2l3
AbSC_Pos,Arid4b
AbSC_Pos,Glmp
AbSC_Pos,Mrpl52
AbSC_Pos,Pin1
AbSC_Pos,Hnrnpd
AbSC_Pos,Rpl8
AbSC_Pos,Lsm4
AbSC_Pos,Eif3e
AbSC_Pos,Rbbp7
AbSC_Pos,Cyth2
