"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MCF2L1",0,0.315189455037568,0.301,0.091,0,"Enteroendocrine","MCF2L"
"CEP170",0,0.310192219117253,0.281,0.075,0,"Enteroendocrine","CEP170"
"DPYSL22",0,0.301626104437592,0.261,0.069,0,"Enteroendocrine","DPYSL2"
"PLCB13",5.52893560982058e-306,0.537844120800094,0.551,0.281,2.43383745544302e-301,"Enteroendocrine","PLCB1"
"TEAD1",1.39839105906439e-304,0.482586559330314,0.705,0.47,6.15571744200143e-300,"Enteroendocrine","TEAD1"
"REG41",1.5383296390444e-304,0.629639381051447,0.387,0.158,6.77172707107343e-300,"Enteroendocrine","REG4"
"SOX5",3.90540084017865e-303,0.403508352158887,0.271,0.085,1.71915744984664e-298,"Enteroendocrine","SOX5"
"GLIS3",2.45528633252713e-297,0.542814600651567,0.564,0.299,1.08081704357844e-292,"Enteroendocrine","GLIS3"
"ZBTB7C1",1.20810725757173e-296,0.400129973973696,0.35,0.129,5.31808814783074e-292,"Enteroendocrine","ZBTB7C"
"FTX",6.37806779481046e-290,0.268797957362215,0.88,0.814,2.80762544327557e-285,"Enteroendocrine","FTX"
"TYW1B1",1.20930849238467e-286,0.498155066832325,0.466,0.221,5.32337598347734e-282,"Enteroendocrine","TYW1B"
"ERC1",4.24252341607415e-286,0.45666792131642,0.682,0.437,1.86755880775584e-281,"Enteroendocrine","ERC1"
"OTULINL",7.91534018929838e-286,0.371540752628569,0.324,0.116,3.48433275132915e-281,"Enteroendocrine","OTULINL"
"FRY4",1.84461003523276e-280,0.318752705992774,0.327,0.115,8.11997337509462e-276,"Enteroendocrine","FRY"
"SLC9C11",7.851700450209e-275,0.308475222443198,0.275,0.088,3.456318538182e-270,"Enteroendocrine","SLC9C1"
"ACSL41",2.61083648435843e-273,0.331257790394624,0.31,0.11,1.14929022041458e-268,"Enteroendocrine","ACSL4"
"STK331",3.41291561759851e-272,0.415102982944122,0.389,0.159,1.50236545486686e-267,"Enteroendocrine","STK33"
"PRUNE22",2.42132025520819e-271,0.468582582501716,0.456,0.214,1.06586517634265e-266,"Enteroendocrine","PRUNE2"
"ANKRD441",3.09664753213369e-271,0.383875834966092,0.427,0.19,1.36314424364525e-266,"Enteroendocrine","ANKRD44"
"TTC61",1.2811774717372e-270,0.34390114020824,0.278,0.093,5.63974323058715e-266,"Enteroendocrine","TTC6"
"GREB1L1",2.48392119500064e-265,0.365038651800843,0.268,0.088,1.09342211003928e-260,"Enteroendocrine","GREB1L"
"DGKH1",5.62415333542554e-258,0.487440091554781,0.565,0.319,2.47575229825432e-253,"Enteroendocrine","DGKH"
"ASTN2",3.94375100617083e-256,0.406484148444444,0.307,0.115,1.7360391929164e-251,"Enteroendocrine","ASTN2"
"TBC1D19",8.23468451858837e-254,0.304137689126179,0.31,0.112,3.6249081250826e-249,"Enteroendocrine","TBC1D19"
"NAP1L1",1.06753667860383e-246,0.292459617779158,0.284,0.101,4.69929645921406e-242,"Enteroendocrine","NAP1L1"
"ARL15",3.06733668140577e-243,0.295390047408729,0.849,0.747,1.35024160715482e-238,"Enteroendocrine","ARL15"
"MSI21",5.9424008514265e-239,0.41858263435048,0.62,0.374,2.61584485479794e-234,"Enteroendocrine","MSI2"
"SAMD51",3.46022910750141e-235,0.422559707743185,0.317,0.125,1.52319285312212e-230,"Enteroendocrine","SAMD5"
"DNMT3A",5.04666682344262e-235,0.301278094572506,0.325,0.126,2.22154273567944e-230,"Enteroendocrine","DNMT3A"
"SSBP31",5.64808349010968e-234,0.41994439989447,0.582,0.338,2.48628635234628e-229,"Enteroendocrine","SSBP3"
"NINL",5.6420783241507e-233,0.274715631350684,0.251,0.084,2.48364287829114e-228,"Enteroendocrine","NINL"
"LRMDA3",9.37090196730668e-230,0.463375742969515,0.446,0.225,4.1250710460084e-225,"Enteroendocrine","LRMDA"
"KIAA13245",1.22433363833624e-228,0.417212926564428,0.553,0.295,5.38951667595613e-224,"Enteroendocrine","KIAA1324"
"SLC8A1",4.58852488205344e-227,0.465551463302328,0.677,0.466,2.01986865307992e-222,"Enteroendocrine","SLC8A1"
"RFX3-AS1",7.06720390053207e-225,0.306426493659652,0.303,0.116,3.11098315701422e-220,"Enteroendocrine","RFX3-AS1"
"NCALD1",4.15181258647035e-216,0.2594718847835,0.251,0.089,1.82762790056425e-211,"Enteroendocrine","NCALD"
"EPN21",8.01703150258349e-216,0.385873363354494,0.407,0.194,3.52909726743725e-211,"Enteroendocrine","EPN2"
"RORA",3.93961540862619e-214,0.505711836345676,0.375,0.181,1.73421870287725e-209,"Enteroendocrine","RORA"
"CYP4F3",1.03934357331626e-213,0.307716022358061,0.298,0.114,4.57519040973817e-209,"Enteroendocrine","CYP4F3"
"LINC018764",2.38513277713665e-209,0.451354066727574,0.404,0.197,1.04993544849556e-204,"Enteroendocrine","LINC01876"
"ZNF254",1.70233126686236e-208,0.322710086310527,0.351,0.153,7.49366223672813e-204,"Enteroendocrine","ZNF254"
"ARHGEF283",8.99955583561463e-208,0.343479834893084,0.391,0.181,3.96160447883756e-203,"Enteroendocrine","ARHGEF28"
"SLC39A111",6.06535087759569e-206,0.40627065984865,0.628,0.406,2.66996745631762e-201,"Enteroendocrine","SLC39A11"
"REV3L",9.13741865487264e-205,0.386397178777323,0.69,0.498,4.02229169187494e-200,"Enteroendocrine","REV3L"
"RASAL21",2.19886748176113e-198,0.391209695500742,0.665,0.466,9.67941465471249e-194,"Enteroendocrine","RASAL2"
"NAIP",3.51092789281178e-196,0.341068821337067,0.347,0.156,1.54551045841575e-191,"Enteroendocrine","NAIP"
"RGL11",1.54427247881884e-195,0.395758204133992,0.507,0.284,6.79788745176051e-191,"Enteroendocrine","RGL1"
"ERI3",2.89276270390586e-194,0.302496608967092,0.327,0.141,1.27339414225936e-189,"Enteroendocrine","ERI3"
"WDFY2",1.16450584198762e-193,0.331389833244539,0.388,0.184,5.12615471642948e-189,"Enteroendocrine","WDFY2"
"SNHG141",8.49602532532474e-192,0.409837149382417,0.444,0.242,3.73995034820795e-187,"Enteroendocrine","SNHG14"
"LINC005111",3.85175710397626e-191,0.402248490184306,0.706,0.509,1.69554347717035e-186,"Enteroendocrine","LINC00511"
"FNIP22",3.62333603075127e-188,0.332356098257301,0.402,0.198,1.59499252073671e-183,"Enteroendocrine","FNIP2"
"TTC28",1.2014544954781e-187,0.400122476111157,0.521,0.308,5.28880268909461e-183,"Enteroendocrine","TTC28"
"KCNJ31",1.63999288101021e-186,0.373794493410192,0.707,0.552,7.21924866220694e-182,"Enteroendocrine","KCNJ3"
"MAN1A11",2.49896300596535e-186,0.376430524147621,0.67,0.475,1.10004351522595e-181,"Enteroendocrine","MAN1A1"
"SIDT11",2.23985897746258e-184,0.259555519046188,0.318,0.135,9.85985921879027e-180,"Enteroendocrine","SIDT1"
"MAP3K4",1.20777995452339e-182,0.353540159230224,0.497,0.281,5.31664735981196e-178,"Enteroendocrine","MAP3K4"
"CAMK1D3",9.03226473745635e-178,0.440888512922347,0.398,0.212,3.97600293742829e-173,"Enteroendocrine","CAMK1D"
"KLF121",7.53346804985051e-177,0.275806658272602,0.316,0.141,3.3162326355442e-172,"Enteroendocrine","KLF12"
"GNAI11",1.15812726599769e-175,0.273984411506568,0.271,0.11,5.09807622492182e-171,"Enteroendocrine","GNAI1"
"LINC017252",1.78989181075303e-173,0.42135924962802,0.452,0.252,7.87910375093484e-169,"Enteroendocrine","LINC01725"
"ITGB82",5.76734831971084e-170,0.343227708963456,0.366,0.178,2.53878673033671e-165,"Enteroendocrine","ITGB8"
"DPP103",9.86878103186571e-167,0.428995242646657,0.581,0.394,4.34423741022728e-162,"Enteroendocrine","DPP10"
"PROM11",2.70589924339432e-165,0.385314039127995,0.448,0.247,1.19113684694218e-160,"Enteroendocrine","PROM1"
"MLLT31",5.85285942702821e-165,0.353122233234353,0.467,0.262,2.57642871977782e-160,"Enteroendocrine","MLLT3"
"N4BP2",1.18718323903011e-163,0.292850195970215,0.311,0.142,5.22598061821054e-159,"Enteroendocrine","N4BP2"
"ATP2B4",9.17517194750638e-163,0.29736517614895,0.367,0.179,4.03891069129231e-158,"Enteroendocrine","ATP2B4"
"CAPS2",5.69311229599415e-162,0.252012078310505,0.254,0.103,2.50610803269663e-157,"Enteroendocrine","CAPS2"
"GSE12",1.03507501430716e-161,0.333321169852623,0.484,0.274,4.5564002129801e-157,"Enteroendocrine","GSE1"
"SOX42",1.22127541649305e-159,0.346782960278663,0.293,0.131,5.37605438340239e-155,"Enteroendocrine","SOX4"
"TBC1D41",3.47785941851444e-157,0.292306371083341,0.318,0.148,1.53095371603006e-152,"Enteroendocrine","TBC1D4"
"ABCA10",3.08743916717561e-154,0.335062646039093,0.493,0.283,1.3590907213907e-149,"Enteroendocrine","ABCA10"
"PDE3B1",1.18367953014207e-153,0.383884330359275,0.365,0.194,5.21055729168537e-149,"Enteroendocrine","PDE3B"
"FRMD4B",9.20731603071621e-153,0.278381725169979,0.287,0.129,4.05306051672128e-148,"Enteroendocrine","FRMD4B"
"TSHZ2",7.3753653553815e-151,0.365602590887681,0.498,0.286,3.24663582943894e-146,"Enteroendocrine","TSHZ2"
"ZFHX32",7.97247508931798e-151,0.333661551213715,0.494,0.293,3.50948353431778e-146,"Enteroendocrine","ZFHX3"
"ENPP21",2.07298275103788e-148,0.30991478734515,0.358,0.18,9.12527007006873e-144,"Enteroendocrine","ENPP2"
"RAB27A1",1.6241331066836e-146,0.273277269150512,0.391,0.204,7.14943393562122e-142,"Enteroendocrine","RAB27A"
"EFCAB21",4.63843099080156e-145,0.277214312938719,0.332,0.16,2.04183732215085e-140,"Enteroendocrine","EFCAB2"
"EPB41",4.9753545329834e-145,0.351019616268576,0.589,0.408,2.19015106541929e-140,"Enteroendocrine","EPB41"
"UNC13B2",1.22144751264268e-144,0.33485311914689,0.541,0.342,5.37681195065306e-140,"Enteroendocrine","UNC13B"
"USP9Y1",4.79116175822154e-144,0.276044739626646,0.311,0.148,2.10906940596912e-139,"Enteroendocrine","USP9Y"
"CRYBG31",5.85875075706839e-144,0.289692028771313,0.318,0.155,2.57902208326151e-139,"Enteroendocrine","CRYBG3"
"CDHR3",3.09716204026791e-143,0.518361930389689,0.533,0.398,1.36337073012593e-138,"Enteroendocrine","CDHR3"
"ABI21",4.84798305296042e-140,0.252956748173065,0.33,0.162,2.13408213991317e-135,"Enteroendocrine","ABI2"
"FOCAD2",1.41989029789402e-139,0.309428873776038,0.473,0.28,6.25035709132948e-135,"Enteroendocrine","FOCAD"
"DIP2B",2.10508780492896e-137,0.312702366848155,0.643,0.479,9.26659651729728e-133,"Enteroendocrine","DIP2B"
"STIM22",5.78437047998924e-136,0.335663738640607,0.513,0.328,2.54627988529126e-131,"Enteroendocrine","STIM2"
"CTDSPL1",1.19431271948268e-135,0.299178921299086,0.415,0.23,5.25736459116274e-131,"Enteroendocrine","CTDSPL"
"BBS9",8.00504163423935e-135,0.296299125670434,0.429,0.243,3.52381932739216e-130,"Enteroendocrine","BBS9"
"AHI12",1.41738036507121e-134,0.301800551832491,0.457,0.267,6.23930836704347e-130,"Enteroendocrine","AHI1"
"SMARCA2",4.85813503369182e-134,0.319740564945013,0.502,0.315,2.13855104183114e-129,"Enteroendocrine","SMARCA2"
"RPH3AL",6.60873850310306e-132,0.279074278113171,0.341,0.176,2.90916668906597e-127,"Enteroendocrine","RPH3AL"
"ABCC5",7.50975221766482e-132,0.277385263194579,0.404,0.214,3.30579292621605e-127,"Enteroendocrine","ABCC5"
"CSRNP31",3.60049576694511e-127,0.299045255660104,0.336,0.175,1.58493823660924e-122,"Enteroendocrine","CSRNP3"
"ARHGAP241",1.37413507903966e-126,0.323800599059337,0.256,0.123,6.04894261793259e-122,"Enteroendocrine","ARHGAP24"
"GUCY2C1",8.18896250593168e-125,0.276343149390272,0.69,0.587,3.60478129511113e-120,"Enteroendocrine","GUCY2C"
"BRAF",8.43970631653734e-120,0.279959763016813,0.673,0.529,3.71515872053974e-115,"Enteroendocrine","BRAF"
"KCNQ1OT11",3.52776663099083e-115,0.329019443170503,0.571,0.402,1.55292287096216e-110,"Enteroendocrine","KCNQ1OT1"
"R3HDM1",5.61804624762574e-113,0.284944391058161,0.476,0.297,2.47306395820485e-108,"Enteroendocrine","R3HDM1"
"FAM126A",3.8618470949088e-111,0.276610827315776,0.395,0.231,1.69998509117885e-106,"Enteroendocrine","FAM126A"
"GCLM1",4.63352769840854e-111,0.313023392203461,0.457,0.291,2.03967889283944e-106,"Enteroendocrine","GCLM"
"PLCG21",7.73356705021208e-108,0.295956038538685,0.779,0.568,3.40431621550336e-103,"Enteroendocrine","PLCG2"
"ICA11",1.2033217281973e-105,0.268010239646252,0.505,0.326,5.29702224752453e-101,"Enteroendocrine","ICA1"
"GLCCI12",2.07501059910171e-104,0.254702191356851,0.363,0.208,9.13419665724571e-100,"Enteroendocrine","GLCCI1"
"GPR1601",1.30598938860486e-102,0.280811302641819,0.488,0.319,5.7489652886386e-98,"Enteroendocrine","GPR160"
"H3F3B",3.11078214795959e-102,0.295651263556813,0.505,0.342,1.36936630153181e-97,"Enteroendocrine","H3F3B"
"CACNA1D2",1.08965338631343e-101,0.288372006733965,0.595,0.419,4.79665420655173e-97,"Enteroendocrine","CACNA1D"
"ABCA5",1.58173802252231e-100,0.255797202599278,0.707,0.569,6.96281077514323e-96,"Enteroendocrine","ABCA5"
"BCL23",1.52162894177266e-99,0.323697863408834,0.382,0.236,6.69821060168327e-95,"Enteroendocrine","BCL2"
"MARCH8",3.43253721027426e-98,0.251748196553664,0.39,0.232,1.51100287996273e-93,"Enteroendocrine","MARCH8"
"ACVR1",2.49825237918167e-97,0.260943647641671,0.393,0.238,1.09973069731577e-92,"Enteroendocrine","ACVR1"
"CCDC50",7.40370511646663e-90,0.292575845385295,0.477,0.336,3.25911099226861e-85,"Enteroendocrine","CCDC50"
"MICU2",8.07891187863138e-90,0.26102138999045,0.534,0.379,3.55633700897353e-85,"Enteroendocrine","MICU2"
"LIMS1",6.23617430641447e-89,0.272262009563175,0.471,0.32,2.74516392968365e-84,"Enteroendocrine","LIMS1"
"INPP4B",8.53277176877088e-89,0.264694842807839,0.672,0.581,3.75612613261294e-84,"Enteroendocrine","INPP4B"
"CLASP21",1.53162539717288e-86,0.250343074696469,0.602,0.454,6.74221499835502e-82,"Enteroendocrine","CLASP2"
"SST",1.69723416929949e-86,0.487304919685996,0.282,0.164,7.47122481325635e-82,"Enteroendocrine","SST"
"ROR12",2.6525188008624e-86,0.285513275337527,0.528,0.365,1.16763877613963e-81,"Enteroendocrine","ROR1"
"ADH4",3.67976610259655e-85,0.344566477252316,0.252,0.143,1.619833038363e-80,"Enteroendocrine","ADH4"
"ELP4",1.17616183457204e-79,0.271260033504034,0.458,0.316,5.17746439578613e-75,"Enteroendocrine","ELP4"
"SPATA13",1.11240660708634e-74,0.257124122092856,0.402,0.269,4.89681388439407e-70,"Enteroendocrine","SPATA13"
"BRINP3",7.88574934032666e-50,0.26859717296687,0.512,0.437,3.4713068596118e-45,"Enteroendocrine","BRINP3"
