term,gene
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CP110
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CPT1A
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CREB1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CRIM1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CRP
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CRYM
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CSPG6
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CSRP2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CTBP2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CTCF
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CTNNB1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CTPS
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CUBN
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CYBRD1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CYP2C18
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CYP2C9
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CYP3A43
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CYP3A5
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",DCC1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",DCK
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",DCTD
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",DDX1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",DDX21
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",DDX5
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",DEK
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",DERPC
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",DHFR
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",DHX15
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",DHX36
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",DIAPH3
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",DKFZp564K142
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",DKFZP686A10121
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",DLD
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",DMD
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",DNMT1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",DRG1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",DTYMK
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",E2F1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",E2F5
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",ECT2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",EED
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",EEF1D
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",EEFSEC
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",EGFR
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",EHF
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",EIF2A
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",EIF2S1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",EIF2S2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",EIF2S3
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",EIF3S10
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",EIF3S5
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",EIF3S6
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",EIF3S6IP
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",EIF4A1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",EIF5
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",ELF2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",ENPP3
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",EPHB2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",EPHB3
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",EPHB4
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",ERGIC1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",ERH
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",ESRRG
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",ETAA16
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",EVL
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",EXO1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",EZH2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",FAM29A
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",FAM82C
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",FBL
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",FBP1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",FBXO5
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",FEN1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",FGD1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",FGF1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",FGFBP1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",FIGNL1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",FKBP3
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",FKSG14
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",FLJ10154
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",FLJ11021
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",FLJ11171
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",FLJ11184
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",FLJ11506
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",FLJ13946
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",FLJ14668
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",FLJ20297
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",FLJ20534
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",FLJ21125
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",FLJ22624
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",FLJ25416
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",FLJ30655
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",FLJ30990
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",FLJ32363
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",FLJ39743
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",FOXM1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",FRAS1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",FSHPRH1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",FZD1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",GART
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",GCDH
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",GCN5L2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",GCS1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",GEMIN4
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",GFER
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",GJB3
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",GMPS
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",GNAI3
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",GNPNAT1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",GPIAP1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",GRSF1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",GRWD1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",GSG2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",GSTM1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",GTL3
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",GTPBP4
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",H2AFY
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",H2AFZ
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",H2-ALPHA
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",HADHSC
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",HAT1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",HBA2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",HBB
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",HBXAP
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",HCP1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",HDAC2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",HDCMA18P
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",HDGF
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",HELLS
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",HEMGN
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",HIST1H2AD
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",HIST2H2BF
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",HMGA2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",HMGB1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",HMGB2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",HMGB3
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",HMGN1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",HMGN2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",HNRPAB
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",HNRPR
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",HRSP12
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",HSCARG/NMRAL1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",HSF1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",HSPA8
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",IDE
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",IFITM2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",IKBKAP
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",ILF3
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",IMPA2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",IMPDH2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",INCENP
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",INVS
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",IPF1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",IVD
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",KCNE3
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",KCNN4
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",KCNQ1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",KIAA0100
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",KIAA0101
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",KIAA0179
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",KIAA0859
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",KIAA0947
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",KIAA0971
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",KIAA0980
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",KIAA1008
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",KIAA1333/G2E3
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",KIAA1524
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",KIF18A
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",KIF20A
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",KIF22
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",KIF23
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",KIF5B
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",KIFC1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",KNTC1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",KPNA2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",LARP4
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",LBR
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",LIG1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",LIMD1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",LIPG
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",LOC126917
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",LOC201175
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",LOC202051
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",LOC203547
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",LOC340286
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",LOC387787
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",LOC643836/ZFP62
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",LOC644958
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",LOC91461
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",LPP
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",LRAT
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",LRIG1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",LSM2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",LSM5
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",LUC7L
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",LYPLA1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",MATN2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",MATR3
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",MBNL3
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",MCM2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",MCM3
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",MCM4
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",MCM5
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",MCM6
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",MCM7
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",MEIS2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",MELK
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",MGC11266
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",MKI67
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",MRE11A
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",MRPL1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",MRPL13
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",MRPL3
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",MRPS22
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",MSH2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",MSH3
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",MSH6
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",MSI2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",MTBP
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",MTF2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",MTHFD1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",MTRR
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",MYB
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NACA
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NAP1L1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NARG1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NASP
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NCL
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NCOA4
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NDUFAF1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NEUROG3
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NFIX
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NNT
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NOL5A
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NOLC1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NOP5/NOP58
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NOTCH1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NOTCH2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NRIP1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NRM
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NSBP1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NUP155
